date,posts_total,posts_twitter,posts_truthsocial,posts_authored,posts_reblogs,posts_with_text,uppercase_ratio_mean,exclamation_count_mean,scored_authored_posts,tone_score_llm_mean,tone_index_llm,tone_abs_llm_mean,rhetorical_heat_llm_mean,geo_posts_llm,geo_share_llm,geopolitical_score_llm_mean,geopolitical_index_llm,scored_share_authored,reblog_density,platform_regime,trump_tone_index,trump_geopolitical_index,shock_posts_component,shock_tone_component,shock_heat_component,shock_uppercase_component,shock_exclamation_component,shock_reblog_component,trump_shock_index_raw,trump_shock_index,shock_raw_llm,shock_index_llm,tone_index_llm_7d,tone_index_llm_30d,geopolitical_index_llm_7d,geopolitical_index_llm_30d,shock_index_llm_7d,shock_index_llm_30d,trump_tone_index_7d,trump_tone_index_30d,trump_geopolitical_index_7d,trump_geopolitical_index_30d,trump_shock_index_7d,trump_shock_index_30d
2009-05-14,1.0,1.0,0.0,1.0,0.0,1.0,0.05,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-0.946869875501456,-1.764477492111951,-0.3161850208479296,-1.388509371644648,-2.399678477654457,-1.388509371644648,-2.399678477654457,0.2711140505661029,0.2657962329834124,0.0,0.0,-1.1106560228388298,-0.7763735123993705,0.6428571428571429,0.5909090909090909,0.0,0.0,-1.1106560228388298,-0.7763735123993705
2009-05-15,1.0,1.0,0.0,1.0,0.0,1.0,0.0531914893617021,0.0,1.0,2.0,1.0259602088548163,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,2.0,0.0,-2.1741281818596656,1.114937852516774,1.0592803279916887,-0.910746235169238,-1.764477492111951,-0.3161850208479296,-0.6150370214271652,-1.0550640280958548,-0.6150370214271652,-1.0550640280958548,0.3161353256978691,0.3291432309726961,0.0,0.0,-1.077549000029007,-0.7995977220407441,0.7142857142857143,0.7083333333333334,0.0,0.0,-1.077549000029007,-0.7995977220407441
2009-05-16,1.0,1.0,0.0,1.0,0.0,1.0,0.0595238095238095,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-0.839072345621185,-1.764477492111951,-0.3161850208479296,-1.3723397421626071,-2.371568982286656,-1.3723397421626071,-2.371568982286656,0.3726585195564533,0.3342600868217263,0.0,0.0,-1.416344568927101,-0.9205185882135064,0.8571428571428571,0.7307692307692307,0.0,0.0,-1.416344568927101,-0.9205185882135064
2009-05-17,1.0,1.0,0.0,1.0,0.0,1.0,0.0549450549450549,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-0.8908980811405465,-1.764477492111951,-0.3161850208479296,-1.3801136024905114,-2.385083162751945,-1.3801136024905114,-2.385083162751945,0.4291817134150374,0.3386459632637523,0.0,0.0,-1.7570707350345216,-1.0251303435376806,1.0,0.75,0.0,0.0,-1.7570707350345216,-1.0251303435376806
2009-05-18,1.0,1.0,0.0,1.0,0.0,1.0,0.0493827160493827,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-0.9538567524381404,-1.764477492111951,-0.3161850208479296,-1.3895574031851503,-2.401500389391259,-1.3895574031851503,-2.401500389391259,0.4857049072736216,0.3424470561801747,0.0,0.0,-2.100142219233273,-1.116888346594586,1.1428571428571428,0.7666666666666667,0.0,0.0,-2.100142219233273,-1.116888346594586
2009-05-19,1.0,1.0,0.0,1.0,0.0,1.0,0.0408163265306122,0.0,1.0,1.0,0.3956623570100891,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-2.935891752393743,-1.0508174936002894,-1.764477492111951,-0.3161850208479296,-1.70373942038838,-2.9476785171603352,-1.70373942038838,-2.9476785171603352,0.4857049072736216,0.3457730124820444,0.0,0.0,-2.2683237152626967,-1.2313127322549453,1.1428571428571428,0.78125,0.0,0.0,-2.2683237152626967,-1.2313127322549453
2009-05-20,2.0,2.0,0.0,2.0,0.0,2.0,0.0693340641271581,0.0,2.0,0.5,0.0805134310877254,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,twitter,0.5,0.0,-1.6929105144907528,-2.3981813835237937,-1.9370987322973847,-0.7280326181787435,-1.764477492111951,-0.3161850208479296,-1.5953453849193917,-2.759244908258106,-1.5953453849193917,-2.759244908258106,0.4406836321418553,0.3301695076941432,0.0,0.0,-2.33140263794266,-1.321191095549249,1.0714285714285714,0.7647058823529411,0.0,0.0,-2.33140263794266,-1.321191095549249
2009-05-21,1.0,1.0,0.0,1.0,0.0,1.0,0.0588235294117647,0.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-0.8469986345829696,-1.764477492111951,-0.3161850208479296,-1.373528685506875,-2.3736358569460534,-1.373528685506875,-2.3736358569460534,0.4406836321418553,0.3338079993228069,0.0,0.0,-2.327682263555744,-1.3796602489601826,1.0714285714285714,0.7777777777777778,0.0,0.0,-2.327682263555744,-1.3796602489601826
2009-05-22,1.0,1.0,0.0,1.0,0.0,1.0,0.0471698113207547,0.0,1.0,2.0,1.0259602088548163,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,2.0,0.0,-2.1741281818596656,1.114937852516774,1.0592803279916887,-0.9789040471168198,-1.764477492111951,-0.3161850208479296,-0.6252606932193026,-1.072836992850687,-0.6252606932193026,-1.072836992850687,0.4406836321418553,0.3702370629823863,0.0,0.0,-2.3302212585207203,-1.363511656533367,1.0714285714285714,0.8421052631578947,0.0,0.0,-2.3302212585207203,-1.363511656533367
2009-05-23,1.0,1.0,0.0,1.0,0.0,1.0,0.0909090909090909,1.0,1.0,1.0,0.3956623570100891,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,twitter,1.0,0.0,-2.1741281818596656,-1.2271416381769378,-0.9383057122010272,-0.4838304857884731,0.675021578795445,-0.3161850208479296,-1.0751035560969608,-1.854849708995012,-1.0751035560969608,-1.854849708995012,0.4406836321418554,0.3715083276837715,0.0,0.0,-2.256404219479057,-1.388078559156449,1.0714285714285714,0.85,0.0,0.0,-2.256404219479057,-1.388078559156449
