date,publication,raw,rolling7,rolling30,c1_raw,c2_raw,c3_raw,c1,c2,c3,c1_3,c2_3,c3_3,c1_7,c2_7,c3_7,c1_30,c2_30,c3_30
2022-01-01,False,,0.0,-0.3,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3,0.0666666666666666,0.9666666666666668
2022-01-02,False,,0.0,-0.3,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3,0.0666666666666666,0.9666666666666668
2022-01-03,False,,0.0,-0.3,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3,0.0666666666666666,0.9666666666666668
2022-01-04,True,-3.0,-0.4285714285714285,-0.4,-3.0,0.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.6666666666666666,-0.4285714285714285,0.0,0.8571428571428571,-0.4,0.0666666666666666,0.9333333333333332
2022-01-05,True,-2.0,-0.7142857142857143,-0.4666666666666667,-2.0,0.0,1.0,-2.0,0.0,1.0,-1.6666666666666667,0.0,0.6666666666666666,-0.7142857142857143,0.0,0.8571428571428571,-0.4666666666666667,0.0666666666666666,0.9333333333333332
2022-01-06,False,,-1.0,-0.5333333333333333,,,,-2.0,0.0,1.0,-2.333333333333333,0.0,0.6666666666666666,-1.0,0.0,0.8571428571428571,-0.5333333333333333,0.0666666666666666,0.9333333333333332
2022-01-07,True,-2.0,-1.2857142857142858,-0.6,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.6666666666666666,-1.2857142857142858,0.0,0.7142857142857143,-0.6,0.0,0.9
2022-01-08,False,,-1.5714285714285714,-0.6666666666666666,,,,-2.0,0.0,0.0,-2.0,0.0,0.3333333333333333,-1.5714285714285714,0.0,0.5714285714285714,-0.6666666666666666,0.0,0.8333333333333334
2022-01-09,False,,-1.8571428571428568,-0.7333333333333333,,,,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.8571428571428568,0.0,0.4285714285714285,-0.7333333333333333,0.0,0.7666666666666667
2022-01-10,True,0.0,-1.8571428571428568,-0.7333333333333333,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.3333333333333333,0.0,-0.3333333333333333,-1.8571428571428568,0.0,0.1428571428571428,-0.7333333333333333,0.0,0.6666666666666666
2022-01-11,True,-2.0,-1.7142857142857142,-0.8,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.3333333333333333,0.0,-0.3333333333333333,-1.7142857142857142,0.0,0.1428571428571428,-0.8,0.0,0.6
2022-01-12,False,,-1.7142857142857142,-0.8666666666666667,,,,-2.0,0.0,0.0,-1.3333333333333333,0.0,-0.3333333333333333,-1.7142857142857142,0.0,0.0,-0.8666666666666667,0.0,0.5333333333333333
2022-01-13,False,,-1.7142857142857142,-0.8333333333333334,,,,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.7142857142857142,0.0,-0.1428571428571428,-0.8333333333333334,0.0,0.6
2022-01-14,False,,-1.7142857142857142,-0.8,,,,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.7142857142857142,0.0,-0.1428571428571428,-0.8,0.0,0.6666666666666666
2022-01-15,False,,-1.7142857142857142,-0.7666666666666667,,,,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.7142857142857142,0.0,-0.1428571428571428,-0.7666666666666667,0.0,0.7333333333333333
2022-01-16,False,,-1.7142857142857142,-0.8333333333333334,,,,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.7142857142857142,0.0,-0.1428571428571428,-0.8333333333333334,0.0,0.6666666666666666
2022-01-17,True,0.0,-1.7142857142857142,-0.8333333333333334,0.0,0.0,-2.0,0.0,0.0,-2.0,-1.3333333333333333,0.0,-0.6666666666666666,-1.7142857142857142,0.0,-0.2857142857142857,-0.8333333333333334,0.0,0.5333333333333333
2022-01-18,True,-1.0,-1.5714285714285714,-0.8666666666666667,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.6666666666666666,-1.5714285714285714,0.0,-0.2857142857142857,-0.8666666666666667,0.0,0.4666666666666667
2022-01-19,True,-3.0,-1.7142857142857142,-0.9666666666666668,-3.0,0.0,-2.0,-3.0,0.0,-2.0,-1.3333333333333333,0.0,-1.3333333333333333,-1.7142857142857142,0.0,-0.5714285714285714,-0.9666666666666668,0.0,0.3666666666666666
