date,raw,rolling7,rolling30,publication
2022-01-04,0,,,True
2022-01-05,,,,False
2022-01-06,-2,,,True
2022-01-07,2,,,True
2022-01-08,-2,,,True
2022-01-09,,,,False
2022-01-10,,-0.8571428571428571,,False
2022-01-11,0,-0.8571428571428571,,True
2022-01-12,,-0.8571428571428571,,False
2022-01-13,-3,-1.0,,True
2022-01-14,,-1.7142857142857142,,False
2022-01-15,0,-1.4285714285714286,,True
2022-01-16,,-1.1428571428571428,,False
2022-01-17,-2,-1.1428571428571428,,True
2022-01-18,,-1.4285714285714286,,False
2022-01-19,-2,-1.7142857142857142,,True
2022-01-20,0,-1.2857142857142858,,True
2022-01-21,0,-0.8571428571428571,,True
2022-01-22,-3,-1.2857142857142858,,True
2022-01-23,,-1.7142857142857142,,False
2022-01-24,,-1.8571428571428572,,False
2022-01-25,-2,-1.8571428571428572,,True
2022-01-26,0,-1.5714285714285714,,True
2022-01-27,0,-1.5714285714285714,,True
2022-01-28,,-1.5714285714285714,,False
2022-01-29,,-1.1428571428571428,,False
2022-01-30,,-0.7142857142857143,,False
2022-01-31,,-0.2857142857142857,,False
2022-02-01,0,0.0,,True
2022-02-02,,0.0,-0.9666666666666667,False
2022-02-03,0,0.0,-0.9666666666666667,True
2022-02-04,2,0.2857142857142857,-0.9,True
2022-02-05,0,0.2857142857142857,-0.8333333333333334,True
2022-02-06,0,0.2857142857142857,-0.9,True
2022-02-07,2,0.5714285714285714,-0.7666666666666667,True
2022-02-08,-2,0.2857142857142857,-0.7666666666666667,True
2022-02-09,0,0.2857142857142857,-0.7,True
2022-02-10,0,0.2857142857142857,-0.7,True
2022-02-11,0,0.0,-0.7,True
2022-02-12,-2,-0.2857142857142857,-0.6666666666666666,True
2022-02-13,,-0.5714285714285714,-0.6333333333333333,False
2022-02-14,0,-0.8571428571428571,-0.6333333333333333,True
2022-02-15,2,-0.2857142857142857,-0.5666666666666667,True
2022-02-16,0,-0.2857142857142857,-0.5,True
2022-02-17,,-0.2857142857142857,-0.43333333333333335,False
2022-02-18,,-0.2857142857142857,-0.36666666666666664,False
2022-02-19,-2,-0.2857142857142857,-0.43333333333333335,True
2022-02-20,0,0.0,-0.43333333333333335,True
2022-02-21,-2,-0.2857142857142857,-0.4,True
2022-02-22,-2,-0.8571428571428571,-0.36666666666666664,True
2022-02-23,0,-0.8571428571428571,-0.26666666666666666,True
2022-02-24,-3,-1.2857142857142858,-0.3,True
2022-02-25,,-1.7142857142857142,-0.4,False
2022-02-26,,-1.8571428571428572,-0.5,False
2022-02-27,-2,-2.142857142857143,-0.5666666666666667,True
2022-02-28,0,-1.8571428571428572,-0.5666666666666667,True
2022-03-01,-2,-1.8571428571428572,-0.6333333333333333,True
2022-03-02,-2,-2.142857142857143,-0.7,True
2022-03-03,0,-1.7142857142857142,-0.7,True
2022-03-04,-3,-1.7142857142857142,-0.8,True
2022-03-05,,-1.7142857142857142,-0.9,False
2022-03-06,3,-1.0,-0.8666666666666667,True
2022-03-07,0,-1.0,-0.8666666666666667,True
2022-03-08,,-0.7142857142857143,-0.8666666666666667,False
2022-03-09,0,-0.42857142857142855,-0.9333333333333333,True
2022-03-10,0,-0.42857142857142855,-0.8666666666666667,True
2022-03-11,,0.0,-0.8666666666666667,False
2022-03-12,0,0.42857142857142855,-0.8666666666666667,True
2022-03-13,2,0.2857142857142857,-0.8,True
2022-03-14,0,0.2857142857142857,-0.7333333333333333,True
2022-03-15,0,0.2857142857142857,-0.6666666666666666,True
2022-03-16,0,0.2857142857142857,-0.6666666666666666,True
2022-03-17,-3,-0.14285714285714285,-0.8333333333333334,True
2022-03-18,,-0.5714285714285714,-0.9333333333333333,False
2022-03-19,,-1.0,-1.0333333333333334,False
2022-03-20,0,-1.2857142857142858,-1.0333333333333334,True
2022-03-21,0,-1.2857142857142858,-0.9666666666666667,True
2022-03-22,-3,-1.7142857142857142,-1.0666666666666667,True
2022-03-23,0,-1.7142857142857142,-1.0,True
2022-03-24,-2,-1.5714285714285714,-1.0,True
2022-03-25,-3,-1.5714285714285714,-1.1,True
2022-03-26,-2,-1.4285714285714286,-1.0666666666666667,True
2022-03-27,,-1.7142857142857142,-1.0333333333333334,False
2022-03-28,,-2.0,-1.0,False
2022-03-29,0,-1.5714285714285714,-0.9333333333333333,True
2022-03-30,2,-1.2857142857142858,-0.8666666666666667,True
2022-03-31,0,-1.0,-0.8,True
2022-04-01,-2,-0.8571428571428571,-0.8,True
2022-04-02,,-0.8571428571428571,-0.8666666666666667,False
2022-04-03,,-0.8571428571428571,-0.8333333333333334,False
2022-04-04,,-0.8571428571428571,-0.8,False
2022-04-05,-3,-1.2857142857142858,-1.0,True
2022-04-06,,-2.0,-1.1,False
2022-04-07,-3,-2.4285714285714284,-1.2,True
2022-04-08,1,-2.0,-1.1666666666666667,True
2022-04-09,,-1.5714285714285714,-1.1333333333333333,False
2022-04-10,,-1.1428571428571428,-1.1,False
2022-04-11,,-0.7142857142857143,-1.0666666666666667,False
2022-04-12,0,-0.2857142857142857,-1.1333333333333333,True
2022-04-13,0,0.14285714285714285,-1.1333333333333333,True
2022-04-14,0,0.5714285714285714,-1.1333333333333333,True
2022-04-15,1,0.5714285714285714,-1.1,True
2022-04-16,,0.5714285714285714,-0.9666666666666667,False
2022-04-17,,0.5714285714285714,-0.8333333333333334,False
2022-04-18,,0.5714285714285714,-0.7,False
2022-04-19,0,0.5714285714285714,-0.7,True
2022-04-20,0,0.5714285714285714,-0.7,True
2022-04-21,0,0.5714285714285714,-0.6,True
2022-04-22,0,0.42857142857142855,-0.6,True
2022-04-23,,0.2857142857142857,-0.5333333333333333,False
2022-04-24,,0.14285714285714285,-0.43333333333333335,False
2022-04-25,,0.0,-0.36666666666666664,False
2022-04-26,0,0.0,-0.3,True
2022-04-27,,0.0,-0.23333333333333334,False
2022-04-28,0,0.0,-0.23333333333333334,True
2022-04-29,0,0.0,-0.3,True
2022-04-30,,0.0,-0.3,False
2022-05-01,,0.0,-0.23333333333333334,False
2022-05-02,0,0.0,-0.16666666666666666,True
2022-05-03,,0.0,-0.1,False
2022-05-04,-2,-0.2857142857142857,-0.1,True
2022-05-05,,-0.5714285714285714,-0.06666666666666667,False
2022-05-06,,-0.8571428571428571,-0.03333333333333333,False
2022-05-07,-2,-1.1428571428571428,0.0,True
2022-05-08,,-1.4285714285714286,-0.1,False
2022-05-09,0,-1.4285714285714286,-0.13333333333333333,True
2022-05-10,,-1.4285714285714286,-0.16666666666666666,False
2022-05-11,0,-1.1428571428571428,-0.2,True
2022-05-12,0,-0.8571428571428571,-0.2,True
2022-05-13,-2,-0.8571428571428571,-0.26666666666666666,True
2022-05-14,-3,-1.0,-0.36666666666666664,True
2022-05-15,0,-0.7142857142857143,-0.4,True
2022-05-16,,-0.7142857142857143,-0.43333333333333335,False
2022-05-17,0,-0.7142857142857143,-0.4666666666666667,True
2022-05-18,-2,-1.0,-0.5666666666666667,True
2022-05-19,0,-1.0,-0.5666666666666667,True
2022-05-20,-2,-1.0,-0.6333333333333333,True
2022-05-21,,-0.8571428571428571,-0.7,False
2022-05-22,,-1.1428571428571428,-0.7666666666666667,False
2022-05-23,0,-1.1428571428571428,-0.7666666666666667,True
2022-05-24,0,-1.1428571428571428,-0.7666666666666667,True
2022-05-25,,-0.8571428571428571,-0.7666666666666667,False
2022-05-26,,-0.8571428571428571,-0.7666666666666667,False
2022-05-27,0,-0.5714285714285714,-0.7666666666666667,True
2022-05-28,,-0.2857142857142857,-0.7666666666666667,False
2022-05-29,,0.0,-0.7666666666666667,False
