date,raw,rolling7,rolling30,publication
2025-06-20,0.0,0.0,0.0,True
2025-06-21,,0.0,0.0,False
2025-06-22,,0.0,0.0,False
2025-06-23,,0.0,0.0,False
2025-06-24,,0.0,0.0,False
2025-06-25,,0.0,0.0,False
2025-06-26,-0.6666666666666666,-0.09523809523809523,-0.09523809523809523,True
2025-06-27,,-0.19047619047619047,-0.16666666666666666,False
2025-06-28,,-0.2857142857142857,-0.2222222222222222,False
2025-06-29,2.0,0.0,0.0,True
2025-06-30,-0.6666666666666666,-0.09523809523809523,-0.0606060606060606,True
2025-07-01,0.0,-0.09523809523809523,-0.05555555555555555,True
2025-07-02,,-0.09523809523809523,-0.05128205128205128,False
2025-07-03,,0.0,-0.047619047619047616,False
2025-07-04,0.0,0.09523809523809523,-0.04444444444444444,True
2025-07-05,,0.19047619047619047,-0.041666666666666664,False
2025-07-06,,-0.09523809523809525,-0.0392156862745098,False
2025-07-07,,0.0,-0.037037037037037035,False
2025-07-08,0.0,0.0,-0.03508771929824561,True
2025-07-09,0.0,0.0,-0.03333333333333333,True
2025-07-10,0.0,0.0,-0.031746031746031744,True
2025-07-11,0.0,0.0,-0.0303030303030303,True
2025-07-12,,0.0,-0.02898550724637681,False
2025-07-13,,0.0,-0.027777777777777776,False
2025-07-14,2.0,0.2857142857142857,0.05333333333333334,True
2025-07-15,,0.5714285714285714,0.12820512820512822,False
2025-07-16,0.0,0.5714285714285714,0.1234567901234568,True
2025-07-17,3.0,1.0,0.22619047619047622,True
2025-07-18,,1.4285714285714286,0.3218390804597701,False
2025-07-19,,1.8571428571428572,0.41111111111111115,False
2025-07-20,,2.2857142857142856,0.5111111111111112,False
2025-07-21,0.0,2.0,0.5111111111111112,True
2025-07-22,,1.7142857142857142,0.5111111111111112,False
2025-07-23,,1.7142857142857142,0.5111111111111112,False
2025-07-24,,1.2857142857142858,0.5111111111111112,False
2025-07-25,,0.8571428571428571,0.5111111111111112,False
2025-07-26,,0.42857142857142855,0.5333333333333333,False
2025-07-27,,0.0,0.5555555555555556,False
2025-07-28,0.6666666666666666,0.09523809523809523,0.6,True
2025-07-29,0.0,0.09523809523809523,0.5333333333333333,True
2025-07-30,,0.09523809523809523,0.5555555555555556,False
2025-07-31,0.0,0.09523809523809523,0.5555555555555556,True
2025-08-01,3.0,0.5238095238095238,0.6555555555555556,True
2025-08-02,,0.9523809523809523,0.7555555555555556,False
2025-08-03,-3.0,0.5238095238095238,0.6555555555555556,True
2025-08-04,,0.0,0.5555555555555556,False
2025-08-05,,-0.42857142857142855,0.4555555555555556,False
2025-08-06,2.0,-0.14285714285714285,0.5222222222222223,True
2025-08-07,,0.14285714285714285,0.5888888888888888,False
2025-08-08,3.0,0.14285714285714285,0.6888888888888888,True
2025-08-09,-3.0,-0.7142857142857143,0.5888888888888888,True
2025-08-10,0.0,-0.2857142857142857,0.5888888888888888,True
2025-08-11,,0.14285714285714285,0.5888888888888888,False
2025-08-12,,0.5714285714285714,0.5888888888888888,False
2025-08-13,2.0,0.5714285714285714,0.5888888888888888,True
2025-08-14,-0.3333333333333333,0.2380952380952381,0.5111111111111111,True
2025-08-15,0.0,-0.19047619047619047,0.5111111111111111,True
2025-08-16,,0.2380952380952381,0.4111111111111111,False
2025-08-17,-2.0,-0.04761904761904761,0.24444444444444444,True
2025-08-18,0.0,-0.04761904761904761,0.14444444444444446,True
2025-08-19,-2.0,-0.3333333333333333,-0.022222222222222216,True
2025-08-20,-2.0,-0.9047619047619048,-0.08888888888888888,True
2025-08-21,,-1.1428571428571428,-0.15555555555555553,False
2025-08-22,,-1.4285714285714286,-0.2222222222222222,False
2025-08-23,,-1.7142857142857142,-0.28888888888888886,False
2025-08-24,,-1.7142857142857142,-0.3555555555555555,False
2025-08-25,0.0,-1.7142857142857142,-0.3555555555555555,True
2025-08-26,,-1.4285714285714286,-0.3555555555555555,False
2025-08-27,0.0,-1.1428571428571428,-0.3777777777777777,True
2025-08-28,-2.0,-1.1428571428571428,-0.4444444444444444,True
2025-08-29,,-1.1428571428571428,-0.5111111111111111,False
2025-08-30,,-1.1428571428571428,-0.5777777777777777,False
2025-08-31,,-1.1428571428571428,-0.7444444444444444,False
2025-09-01,0.0,-1.1428571428571428,-0.8444444444444444,True
2025-09-02,,-1.1428571428571428,-0.7444444444444444,False
2025-09-03,2.0,-0.8571428571428571,-0.5777777777777777,True
2025-09-04,0.0,-0.5714285714285714,-0.47777777777777775,True
2025-09-05,,-0.28571428571428564,-0.5444444444444444,False
2025-09-06,,6.344131569286608e-17,-0.611111111111111,False
2025-09-07,,0.28571428571428575,-0.711111111111111,False
2025-09-08,1.0,0.42857142857142866,-0.5777777777777777,True
2025-09-09,2.0,0.7142857142857143,-0.5111111111111111,True
2025-09-10,0.0,0.42857142857142866,-0.5111111111111111,True
2025-09-11,,0.42857142857142866,-0.5111111111111111,False
2025-09-12,0.6666666666666666,0.5238095238095238,-0.5555555555555555,True
2025-09-13,,0.6190476190476192,-0.5222222222222223,False
2025-09-14,,0.7142857142857143,-0.5,False
2025-09-15,,0.6666666666666667,-0.4777777777777778,False
2025-09-16,,0.4761904761904762,-0.3888888888888889,False
2025-09-17,,0.5714285714285714,-0.36666666666666664,False
2025-09-18,,0.6666666666666666,-0.2777777777777778,False
2025-09-19,,0.6666666666666666,-0.18888888888888886,False
2025-09-20,,0.6666666666666666,-0.1,False
2025-09-21,,0.6666666666666666,-0.011111111111111108,False
2025-09-22,1.0,0.7142857142857143,0.08888888888888889,True
2025-09-23,1.0,0.761904761904762,0.1888888888888889,True
2025-09-24,2.0,0.9523809523809524,0.2555555555555556,True
2025-09-25,,1.1428571428571428,0.3222222222222222,False
2025-09-26,2.0,1.3333333333333335,0.38888888888888895,True
2025-09-27,2.0,1.523809523809524,0.5222222222222223,True
2025-09-28,0.0,1.4285714285714286,0.5888888888888889,True
2025-09-29,-0.6666666666666666,1.1904761904761905,0.6333333333333333,True
2025-09-30,,0.9523809523809526,0.6777777777777777,False
2025-10-01,0.0,0.6666666666666669,0.6777777777777777,True
2025-10-02,,0.3809523809523811,0.6777777777777777,False
2025-10-03,,0.09523809523809537,0.611111111111111,False
2025-10-04,,-0.19047619047619033,0.611111111111111,False
2025-10-05,2.0,0.09523809523809537,0.6777777777777778,True
2025-10-06,,0.47619047619047633,0.7444444444444446,False
2025-10-07,,0.8571428571428573,0.8111111111111112,False
2025-10-08,-1.5,0.642857142857143,0.7277777777777779,True
2025-10-09,1.0,0.7857142857142858,0.6944444444444445,True
2025-10-10,0.0,0.7857142857142858,0.6944444444444445,True
2025-10-11,,0.7857142857142858,0.6944444444444445,False
2025-10-12,,0.5000000000000001,0.6722222222222222,False
2025-10-13,-2.0,-0.0714285714285713,0.5833333333333334,True
2025-10-14,0.0,-0.35714285714285704,0.5611111111111112,True
2025-10-15,1.0,1.2688263138573217e-16,0.5722222222222222,True
2025-10-16,,1.2688263138573217e-16,0.5833333333333334,False
2025-10-17,2.0,0.28571428571428586,0.6277777777777779,True
2025-10-18,,0.5714285714285715,0.6722222222222222,False
2025-10-19,,0.8571428571428573,0.7166666666666667,False
2025-10-20,,1.4285714285714286,0.7611111111111112,False
2025-10-21,-3.0,1.0,0.6388888888888888,True
2025-10-22,,0.4285714285714287,0.5055555555555555,False
2025-10-23,,-0.14285714285714274,0.3722222222222223,False
2025-10-24,,-0.857142857142857,0.2055555555555556,False
2025-10-25,,-1.5714285714285714,0.03888888888888893,False
2025-10-26,0.0,-1.8571428571428572,-0.027777777777777738,True
2025-10-27,,-2.142857142857143,-0.0944444444444444,False
2025-10-28,,-1.7142857142857142,-0.0944444444444444,False
2025-10-29,2.0,-0.9999999999999999,-0.005555555555555521,True
2025-10-30,2.0,-0.2857142857142856,0.08333333333333336,True
2025-10-31,,0.4285714285714287,0.15000000000000002,False
2025-11-01,2.0,1.1428571428571428,0.2166666666666667,True
2025-11-02,,1.4285714285714286,0.2833333333333333,False
2025-11-03,,1.7142857142857142,0.35,False
2025-11-04,-0.6666666666666666,1.619047619047619,0.2611111111111111,True
2025-11-05,0.0,1.3333333333333335,0.19444444444444448,True
2025-11-06,,1.0476190476190477,0.12777777777777782,False
2025-11-07,-2.0,0.47619047619047633,0.11111111111111113,True
2025-11-08,0.0,0.19047619047619063,0.0777777777777778,True
2025-11-09,,-0.0952380952380951,0.0777777777777778,False
2025-11-10,-1.5,-0.5952380952380951,0.02777777777777781,True
2025-11-11,2.0,-0.21428571428571416,0.09444444444444448,True
2025-11-12,2.0,0.07142857142857155,0.2277777777777778,True
2025-11-13,3.0,0.5000000000000001,0.3277777777777778,True
2025-11-14,,1.2142857142857142,0.3944444444444445,False
2025-11-15,,1.6428571428571428,0.46111111111111114,False
2025-11-16,0.0,1.6428571428571428,0.3944444444444445,True
2025-11-17,,1.8571428571428572,0.3277777777777778,False
2025-11-18,,1.5714285714285714,0.2611111111111111,False
2025-11-19,0.0,1.2857142857142858,0.19444444444444448,True
2025-11-20,1.0,1.0000000000000002,0.3277777777777778,True
2025-11-21,0.0,0.5714285714285715,0.4277777777777778,True
2025-11-22,,0.142857142857143,0.5277777777777778,False
2025-11-23,,0.142857142857143,0.6277777777777779,False
2025-11-24,,0.142857142857143,0.7277777777777779,False
2025-11-25,1.0,0.28571428571428586,0.7611111111111112,True
2025-11-26,-2.0,1.2688263138573217e-16,0.6944444444444445,True
2025-11-27,0.0,-0.14285714285714274,0.6944444444444445,True
2025-11-28,,-0.14285714285714274,0.6277777777777779,False
2025-11-29,,-0.14285714285714274,0.5611111111111112,False
2025-11-30,,-0.14285714285714274,0.49444444444444446,False
2025-12-01,,-0.14285714285714274,0.4277777777777778,False
2025-12-02,,-0.2857142857142856,0.3611111111111111,False
2025-12-03,0.0,0.0,0.29444444444444445,True
2025-12-04,-3.0,-0.42857142857142844,0.21666666666666673,True
2025-12-05,0.0,-0.42857142857142844,0.2166666666666667,True
2025-12-06,,-0.42857142857142844,0.2166666666666667,False
2025-12-07,0.0,-0.42857142857142844,0.2833333333333333,True
2025-12-08,,-0.42857142857142844,0.2833333333333333,False
2025-12-09,-3.0,-0.857142857142857,0.18333333333333332,True
2025-12-10,-1.3333333333333333,-1.0476190476190474,0.18888888888888894,True
2025-12-11,-3.0,-1.0476190476190474,0.02222222222222226,True
2025-12-12,-3.0,-1.476190476190476,-0.1444444444444444,True
2025-12-13,,-1.9047619047619047,-0.3444444444444444,False
2025-12-14,,-2.333333333333333,-0.5444444444444444,False
2025-12-15,1.0,-2.1904761904761902,-0.611111111111111,True
2025-12-16,,-1.6190476190476188,-0.5777777777777777,False
2025-12-17,1.0,-1.2857142857142854,-0.5444444444444444,True
2025-12-18,,-0.7142857142857142,-0.5111111111111111,False
2025-12-19,,-0.14285714285714274,-0.47777777777777775,False
2025-12-20,,0.4285714285714287,-0.47777777777777775,False
2025-12-21,,1.0,-0.4444444444444444,False
2025-12-22,,1.0,-0.4111111111111111,False
2025-12-23,,1.0,-0.3777777777777777,False
2025-12-24,-3.0,0.4285714285714287,-0.47777777777777775,True
2025-12-25,,-0.14285714285714274,-0.611111111111111,False
2025-12-26,,-0.7142857142857142,-0.6444444444444444,False
2025-12-27,,-1.2857142857142858,-0.7444444444444444,False
2025-12-28,,-1.8571428571428572,-0.8444444444444444,False
2025-12-29,,-2.4285714285714284,-0.9444444444444444,False
2025-12-30,-2.0,-2.857142857142857,-1.011111111111111,True
2025-12-31,,-2.7142857142857144,-1.0777777777777777,False
2026-01-01,,-2.5714285714285716,-1.1444444444444444,False
2026-01-02,,-2.4285714285714284,-1.211111111111111,False
2026-01-03,,-2.2857142857142856,-1.1777777777777776,False
2026-01-04,,-2.142857142857143,-1.2444444444444442,False
2026-01-05,0.0,-1.7142857142857142,-1.2444444444444442,True
2026-01-06,,-1.4285714285714286,-1.2444444444444442,False
2026-01-07,,-1.1428571428571428,-1.2444444444444442,False
